Age,Rack,Repetition,Replicate,Tube,Nuclear,Mito,Diet,Time (sec),Dy (Vertical Velocity) (px/sec),Dz (Speed),Dy (cm/sec),Mean Velocity (cm/sec),Dy,Dz
young,5,1,1,13,19,C,IV,3,101.334,101.343,2.90625912,3.00184,,
young,5,1,1,13,19,C,IV,6,133.333,133.5,3.82399044,,,
young,5,1,1,13,19,C,IV,9,104,104.077,2.98272,,,
young,5,1,1,14,19,C,IV,3,98.667,98.676,2.82976956,,,
young,5,1,1,14,19,C,IV,6,108,108.008,3.09744,,,
young,5,1,1,14,19,C,IV,9,102.666,102.701,2.94446088,,,
young,5,1,1,15,19,C,IV,3,62.667,62.724,1.79728956,,,
young,5,1,1,15,19,C,IV,6,106.666,106.699,3.05918088,,,
young,5,1,1,15,19,C,IV,9,126.667,126.674,3.63280956,,,
young,5,1,1,16,19,C,IV,3,110.667,111.06,3.17392956,,,
young,5,1,1,16,19,C,IV,6,66.667,67.317,1.91200956,,,
young,5,1,1,16,19,C,IV,9,134.666,135.088,3.86222088,,,
young,5,1,1,17,19,C,II,3,77.333,77.333,2.21791044,2.22429413,,
young,5,1,1,17,19,C,II,6,64,64.222,1.83552,,,
young,5,1,1,17,19,C,II,9,26.667,28.253,0.76480956,,,
young,5,1,1,18,19,C,II,3,104,104,2.98272,,,
young,5,1,1,18,19,C,II,6,126.667,126.695,3.63280956,,,
young,5,1,1,18,19,C,II,9,126.667,127.01,3.63280956,,,
young,5,1,1,19,19,C,II,3,128,128.028,3.67104,,,
young,5,1,1,19,19,C,II,6,141.333,141.339,4.05343044,,,
young,5,1,1,19,19,C,II,9,136,136.026,3.90048,,,
young,5,1,1,20,19,C,II,3,0,0,0,,,
young,5,1,1,20,19,C,II,6,0,0,0,,,
young,5,1,1,20,19,C,II,9,0,0,0,,,
young,5,1,1,21,19,C,V,3,90.667,91.146,2.60032956,2.43780478,,
young,5,1,1,21,19,C,V,6,133.333,133.36,3.82399044,,,
young,5,1,1,21,19,C,V,9,118.667,118.787,3.40336956,,,
young,5,1,1,22,19,C,V,3,104,104,2.98272,,,
young,5,1,1,22,19,C,V,6,57.333,59.896,1.64431044,,,
young,5,1,1,22,19,C,V,9,113.334,113.405,3.25041912,,,
young,5,1,1,23,19,C,V,3,101.334,101.343,2.90625912,,,
young,5,1,1,23,19,C,V,6,77.333,77.436,2.21791044,,,
young,5,1,1,23,19,C,V,9,-105.333,106.349,-3.02095044,,,
young,5,1,1,24,19,C,V,3,105.334,105.368,3.02097912,,,
young,5,1,1,24,19,C,V,6,116,116.123,3.32688,,,
young,5,1,1,24,19,C,V,9,108,108.403,3.09744,,,
young,6,1,1,1,19,G,IV,3,158.666,158.672,4.55054088,4.27332,,
young,6,1,1,1,19,G,IV,6,161.334,161.472,4.62705912,,,
young,6,1,1,1,19,G,IV,9,144,144.025,4.12992,,,
young,6,1,1,2,19,G,IV,3,164,164.195,4.70352,,,
young,6,1,1,2,19,G,IV,6,145.333,145.553,4.16815044,,,
young,6,1,1,2,19,G,IV,9,120,120.118,3.4416,,,
young,6,1,1,3,19,G,IV,3,145.333,145.339,4.16815044,,,
young,6,1,1,3,19,G,IV,6,136,137.1,3.90048,,,
young,6,1,1,3,19,G,IV,9,158.667,158.673,4.55056956,,,
young,6,1,1,4,19,G,IV,3,170.667,170.672,4.89472956,,,
young,6,1,1,4,19,G,IV,6,152,152.094,4.35936,,,
young,6,1,1,4,19,G,IV,9,132,132.007,3.78576,,,
young,6,1,1,5,19,G,II,3,178.666,178.671,5.12414088,4.43902587,,
young,6,1,1,5,19,G,II,6,170.667,170.672,4.89472956,,,
young,6,1,1,5,19,G,II,9,130.667,130.728,3.74752956,,,
young,6,1,1,6,19,G,II,3,117.333,117.341,3.36511044,,,
young,6,1,1,6,19,G,II,6,136,136.026,3.90048,,,
young,6,1,1,6,19,G,II,9,146.667,146.667,4.20640956,,,
young,6,1,1,7,19,G,II,3,189.333,189.333,5.43007044,,,
young,6,1,1,7,19,G,II,6,158.667,158.807,4.55056956,,,
young,6,1,1,7,19,G,II,9,133.333,133.393,3.82399044,,,
young,6,1,1,8,19,G,II,3,189.333,189.563,5.43007044,,,
young,6,1,1,8,19,G,II,6,162.667,162.672,4.66528956,,,
young,6,1,1,8,19,G,II,9,144,144.025,4.12992,,,
young,6,1,1,9,19,G,V,3,160,160.139,4.5888,4.19046826,,
young,6,1,1,9,19,G,V,6,137.333,137.391,3.93871044,,,
young,6,1,1,9,19,G,V,9,134.667,134.667,3.86224956,,,
young,6,1,1,10,19,G,V,3,148,148.006,4.24464,,,
young,6,1,1,10,19,G,V,6,142.667,142.723,4.09168956,,,
young,6,1,1,10,19,G,V,9,117.333,117.363,3.36511044,,,
young,6,1,1,11,19,G,V,3,150.667,150.761,4.32112956,,,
young,6,1,1,11,19,G,V,6,126.667,126.674,3.63280956,,,
